date, number_of_issues, number_of_pull_requests, number_of_commits
2016-09-26, 14, 3, 57
2016-09-27, 14, 6, 58
2016-09-28, 37, 16, 43
2016-09-29, 23, 6, 72
2016-09-30, 35, 20, 53
2016-10-01, 14, 5, 9
2016-10-02, 8, 4, 4
2016-10-03, 18, 3, 30
2016-10-04, 28, 11, 44
2016-10-05, 22, 10, 34
2016-10-06, 18, 10, 57
2016-10-07, 28, 7, 52
2016-10-08, 12, 4, 16
2016-10-09, 19, 5, 6
2016-10-10, 17, 8, 42
2016-10-11, 20, 8, 71
2016-10-12, 27, 7, 74
2016-10-13, 18, 7, 71
2016-10-14, 27, 15, 72
2016-10-15, 15, 9, 21
2016-10-16, 10, 2, 28
2016-10-17, 18, 10, 47
2016-10-18, 41, 24, 69
2016-10-19, 22, 10, 92
2016-10-20, 19, 7, 58
2016-10-21, 28, 13, 61
2016-10-22, 14, 8, 39
2016-10-23, 11, 5, 23
2016-10-24, 25, 14, 65
2016-10-25, 27, 8, 68
2016-10-26, 20, 11, 62
2016-10-27, 23, 10, 67
2016-10-28, 19, 6, 89
2016-10-29, 13, 7, 15
2016-10-30, 11, 2, 7
2016-10-31, 21, 10, 96
2016-11-01, 26, 7, 56
2016-11-02, 26, 9, 57
2016-11-03, 25, 11, 74
2016-11-04, 17, 7, 74
2016-11-05, 14, 4, 7
2016-11-06, 14, 5, 5
2016-11-07, 30, 11, 20
2016-11-08, 21, 7, 62
2016-11-09, 21, 11, 54
2016-11-10, 26, 10, 45
2016-11-11, 27, 7, 48
2016-11-12, 8, 6, 36
2016-11-13, 21, 6, 5
2016-11-14, 16, 5, 47
2016-11-15, 28, 11, 65
2016-11-16, 21, 11, 65
2016-11-17, 27, 10, 69
2016-11-18, 25, 12, 64
2016-11-19, 17, 10, 20
2016-11-20, 16, 5, 13
2016-11-21, 27, 10, 49
2016-11-22, 29, 10, 64
2016-11-23, 25, 13, 67
2016-11-24, 18, 9, 28
2016-11-25, 32, 12, 13
2016-11-26, 6, 2, 8
2016-11-27, 15, 3, 4
2016-11-28, 29, 12, 50
2016-11-29, 39, 12, 58
2016-11-30, 36, 10, 55
2016-12-01, 37, 16, 78
2016-12-02, 19, 9, 73
2016-12-03, 9, 3, 24
2016-12-04, 10, 3, 3
2016-12-05, 35, 14, 56
2016-12-06, 29, 16, 64
2016-12-07, 39, 18, 88
2016-12-08, 27, 8, 84
2016-12-09, 29, 14, 55
2016-12-10, 18, 9, 31
2016-12-11, 11, 1, 7
2016-12-12, 12, 0, 37
2016-12-13, 25, 7, 52
2016-12-14, 27, 11, 51
2016-12-15, 20, 6, 55
